serial_id,name,color,amount_color,amount_color_bland,biggest_item,amount_biggest_item,x_code,report_date
0,Smith-Fields Services,silver,795.05,176.06,Fruit,58.54,8d1a0022,1992/07
1,Carr PLC E-markets,teal,814.96,468.80,Toy,54.54,587f1813,1970/07
2,"Washington, Scott and Allen Synergies",lime,415.32,214.11,Fruit,43.28,fcd55221,1977/05
3,"Green, Evans and Lynch Experiences",silver,216.21,103.36,Bead,35.50,e78467bd,2008/04
4,Perry-Ayala Users,purple,637.61,410.97,Toy,45.97,a329385c,1945/10
5,Berg Ltd Models,teal,566.24,410.84,Toy,56.75,301ec326,2001/08
6,Johnson Inc Solutions,silver,386.38,303.37,Jewelry,31.15,4573223e,1977/02
7,Smith Group Applications,maroon,553.77,341.78,Jewelry,54.90,b6472ae9,1944/03
8,Anderson and Sons Vortals,white,663.77,408.30,Fruit,16.59,bcc7aa09,1942/02
9,"Kane, Howard and Davis Interfaces",lime,766.93,378.80,Jewelry,14.27,1e95fb23,1975/06
10,"Pitts, Walker and Bartlett Mindshare",lime,332.60,187.26,Jewelry,27.05,e512b2b0,1992/05
11,Brooks LLC Web-readiness,navy,512.69,442.75,Bead,48.34,484186fe,2007/03
12,Reynolds and Sons Synergies,maroon,822.02,408.87,Jewelry,61.44,4a331422,1981/06
13,"Morrow, Bradshaw and Sanchez Content",yellow,360.26,141.18,Toy,48.72,6079d6f8,1947/02
14,"Brown, Barnes and Ward Technologies",yellow,34.64,26.03,Toy,63.86,d8bfe558,1945/06
15,Pace-Morgan Communities,teal,204.56,30.99,Basket,16.84,f556e2e4,1960/07
16,Palmer PLC Channels,maroon,185.30,127.20,Basket,16.55,abc51f9c,2007/10
17,"Preston, Mendoza and Brown Synergies",teal,354.19,134.87,Bead,1.64,08c87b55,1983/05
18,"Smith, Hughes and Lewis E-tailers",white,283.02,73.85,Basket,54.32,fcfec9e0,1947/02
19,Roberson and Sons Metrics,lime,495.36,333.77,Basket,16.45,68843498,2000/07
20,"Burns, Morton and Jackson Functionalities",maroon,561.23,399.33,Umbrella,5.08,3fd70858,1944/10
21,Vazquez LLC Convergence,fuchsia,793.31,563.06,Fruit,18.73,12892fa2,1952/10
22,Ortega-Rogers Channels,yellow,341.98,148.28,Toy,13.02,3ba0d808,1969/02
23,"Wood, Ellis and Diaz Technologies",green,"1,055.06",572.65,Umbrella,28.04,fc7678bc,1966/05
24,"Chavez, Collins and Gray Niches",silver,567.70,163.01,Jewelry,34.96,bab0a53d,2003/07
25,Ortiz and Sons Relationships,gray,193.23,73.07,Jewelry,51.19,47770033,2005/12
26,"Garcia, Goodman and Ball Synergies",navy,420.03,214.76,Fruit,63.33,d0951331,1946/09
27,"Jones, Jackson and Lewis Relationships",fuchsia,759.19,309.81,Fruit,22.18,47a9af30,1995/06
28,"Perkins, Rivera and White Functionalities",blue,897.20,467.79,Jewelry,46.55,5868ed06,1966/01
29,Collins PLC Info-mediaries,olive,541.71,356.29,Fruit,37.78,0e9c06db,1988/06
30,Martin PLC Experiences,maroon,497.28,293.29,Jewelry,16.89,7e40ad44,2003/02
31,"Burnett, Price and Moreno Interfaces",blue,872.23,686.42,Fruit,34.63,6665edd1,1979/11
32,Rodriguez Group Infrastructures,navy,958.39,510.19,Toy,12.28,577d1169,1954/11
33,Carter-Brown E-markets,green,468.24,176.46,Jewelry,63.83,305d2575,2007/08
34,George-Nunez Initiatives,green,644.74,388.31,Jewelry,37.86,b761e452,1975/04
35,"Lee, Rodriguez and Anderson Bandwidth",silver,943.57,462.06,Jewelry,35.26,f0f44531,1984/04
36,Schmidt Inc Bandwidth,olive,754.53,675.14,Toy,57.18,d27a5195,1966/09
37,"Miller, Morales and Edwards Methodologies",lime,56.47,12.12,Jewelry,13.45,694acdbc,1999/11
38,Haley-Morris Info-mediaries,purple,830.33,335.56,Paint,35.43,6eb38025,2002/02
39,"Wood, Nelson and Stevens Action-items",navy,501.40,327.13,Toy,54.37,d76bb88a,2006/10
40,Phelps Group Action-items,gray,369.40,272.92,Toy,39.81,800a5e07,1959/04
41,Cooper and Sons Solutions,green,925.28,567.11,Toy,9.47,9ac6dd38,1958/05
42,Mckenzie-Noble Models,green,253.30,180.45,Toy,57.12,8112e8da,1961/11
43,Wheeler-Wood Relationships,black,283.19,196.77,Basket,37.96,deafca85,1977/05
44,Ray-Long Mindshare,blue,621.18,273.71,Jewelry,4.67,f8315e93,1953/03
45,"Johnson, Smith and Ayala Markets",aqua,691.42,464.18,Paint,48.66,9f453a34,2005/11
46,Navarro-Dawson Networks,fuchsia,827.08,389.44,Fruit,54.49,3cc77e0a,1955/02
47,Davenport-Brown Action-items,silver,200.47,108.10,Jewelry,34.21,c2431b83,1997/03
48,Hill Ltd Technologies,white,192.19,128.27,Toy,43.42,8dfc2b58,1963/01
49,Smith-Johnson Supply-chains,fuchsia,67.12,10.02,Jewelry,60.45,4b70dcc9,1953/06
50,"Patel, Graham and Haynes Content",black,"1,143.11",372.52,Bead,33.84,1e903eca,2002/10
51,"Carlson, Hernandez and Lin Services",black,541.33,386.88,Bead,37.80,c22f5621,1984/02
52,"Vaughn, Byrd and Hart Models",olive,132.73,97.11,Fruit,31.03,a1d2abcc,1953/05
53,"Wright, Zimmerman and Cannon Web-readiness",gray,405.56,89.51,Basket,57.83,f1835b40,1978/06
54,Russell-Flores E-tailers,purple,633.82,167.90,Umbrella,33.22,cf64203b,1997/02
55,Nelson Inc Communities,maroon,330.51,181.89,Bead,48.95,ef05845e,2005/09
56,"Patel, Graham and Haynes Content",purple,490.23,157.17,Toy,45.56,0cbead3b,1997/04
57,Shaffer-Allen Partnerships,blue,489.43,262.62,Toy,31.20,3d13cd40,1960/09
58,"Smith, Compton and Gibson Communities",olive,196.78,63.41,Jewelry,22.80,8aba5834,1946/07
59,Hinton LLC Action-items,lime,117.55,92.25,Toy,48.24,8134fbd4,1957/07
60,Butler LLC Markets,lime,342.40,228.93,Fruit,51.02,9d109adf,1947/07
61,"Johnson, Stone and Massey Infrastructures",yellow,535.75,435.61,Fruit,37.63,d5bac873,1997/11
62,Franklin LLC Schemas,gray,205.85,73.11,Jewelry,38.81,f835ad91,1961/10
63,Johnson-Jones Portals,yellow,699.21,423.61,Jewelry,42.66,76eeafcc,1973/11
64,Jones Ltd E-business,lime,215.63,152.18,Toy,27.00,6b948944,1944/08
65,"Dickson, Miller and Joyce Services",silver,692.62,411.58,Toy,57.98,b1e52692,2001/08
66,Clements Ltd Supply-chains,purple,767.43,354.52,Jewelry,24.06,be5906a8,1974/09
67,Carpenter-Collins Initiatives,aqua,137.48,63.48,Jewelry,20.52,28b1d595,2002/03
68,"Martinez, Garrett and Reed Action-items",silver,364.14,292.61,Jewelry,18.36,0dece40d,1978/07
69,Fitzgerald-Edwards Roi,yellow,676.12,259.81,Umbrella,55.36,61abb1f9,1972/01
70,Garrett-Schneider Roi,olive,303.24,161.24,Toy,17.17,a73c0475,1962/08
71,"Ward, Sparks and Romero Vortals",yellow,667.37,171.42,Jewelry,17.17,5da08313,1975/05
